Genus,number_accessions,number_available,type
Artocarpus,288,0,fruit
Asparagus,801,30,other
Avena,78977,2064,cereal
Beta,9892,69,other
Brassica,47522,1709,other
Armoracia,152,0,other
Barbarea,752,3,other
Camelina,1130,4,other
Crambe,785,19,other
Diplotaxis,478,9,other
Eruca,1341,2,other
Isatis,319,9,other
Lepidium,1169,38,other
Raphanus,5498,161,other
Rorippa,99,22,other
Sinapis,2009,0,other
Cajanus,17191,15419,legume
Cicer,72213,20606,legume
Citrus,2284,0,fruit
Cocos,216,0,fruit
Xanthosoma,86,0,root/tuber
Colocasia,1708,0,root/tuber
Daucus,7440,65,other
Dioscorea,5023,3201,root/tuber
Eleusine,14326,9739,cereal
Fragaria,6045,6,fruit
Helianthus,17773,45,other
Hordeum,308037,14304,cereal
Ipomoea,5304,1254,root/tuber
Lathyrus,16925,215,legume
Lens,38157,16,legume
Malus,51178,528,fruit
Manihot,15042,2930,root/tuber
Musa,3261,1251,fruit
Oryza,270955,146801,cereal
Pennisetum,32409,23560,cereal
Phaseolus,169108,35318,legume
Pisum,68882,6185,legume
Secale,18725,468,cereal
Solanum,117710,14673,root/tuber
Solanum,117710,14673,other
Sorghum,132653,45218,cereal
Triticosecale,13434,6108,cereal
Agropyron,2928,25,cereal
Triticum,560230,93823,cereal
Elymus,5258,56,cereal
Secale,18725,468,cereal
Vicia,64453,733,legume
Vigna,86959,37408,legume
Zea,174594,35698,cereal
