forage_type,genus,species
legume,Astragalus,Astragalus chinensis
legume,Astragalus,Astragalus cicer
legume,Astragalus,Astragalus arenarius
legume,Canavalia,Canavalia ensiformis
legume,Coronilla,Coronilla varia
legume,Hedysarum,Hedysarum coronarium
legume,Lathyrus,Lathyrus cicera
legume,Lathyrus,Lathyrus ciliolatus
legume,Lathyrus,Lathyrus hirsutus
legume,Lathyrus,Lathyrus ochrus
legume,Lathyrus,Lathyrus odoratus
legume,Lathyrus,Lathyrus sativus
legume,Lespedeza,Lespedeza cuneata
legume,Lespedeza,Lespedeza striata
legume,Lespedeza,Lespedeza stipulacea
legume,Lotus,Lotus corniculatus
legume,Lotus,Lotus subbiflorus
legume,Lotus,Lotus uliginosus
legume,Lupinus,Lupinus albus
legume,Lupinus,Lupinus angustifolius
legume,Lupinus,Lupinus luteus
legume,Medicago,Medicago Arborea
legume,Medicago,Medicago falcata
legume,Medicago,Medicago sativa
legume,Medicago,Medicago scutellata
legume,Medicago,Medicago rigidula
legume,Medicago,Medicago truncatula
legume,Melilotus,Melilotus albus
legume,Melilotus,Melilotus officinalis
legume,Onobrychis,Onobrychis viciifolia
legume,Ornithopus,Ornithopus sativus
legume,Prosopis,Prosopis affinis
legume,Prosopis,Prosopis alba
legume,Prosopis,Prosopis chilensis
legume,Prosopis,Prosopis nigra
legume,Prosopis,Prosopis pallida
legume,Pueraria,Pueraria phaseoloides
legume,Trifolium,Trifolium alexandrinum
legume,Trifolium,Trifolium alpestre
legume,Trifolium,Trifolium ambiguum
legume,Trifolium,Trifolium angustifolium
legume,Trifolium,Trifolium arvense
legume,Trifolium,Trifolium hybridum
legume,Trifolium,Trifolium incarnatum
legume,Trifolium,Trifolium pratense
legume,Trifolium,Trifolium repens
legume,Trifolium,Trifolium resupinatum
legume,Trifolium,Trifolium rueppellianum
legume,Trifolium,Trifolium semipilosum
legume,Trifolium,Trifolium subterraneum
legume,Trifolium,Trifolium vesiculosum
grass,Andropogon,Andropogon gayanus
grass,Agropyron,Agropyron cristatum
grass,Agropyron,Agropyron desertorum
grass,Agrostis,Agrostis stolonifera
grass,Agrostis,Agrostis tenuis
grass,Alopecurus,Alopecurus pratensis
grass,Arrhenatherum,Arrhenatherum elatius
grass,Dactylis,Dactylis glomerata
grass,Festuca,Festuca arundinacea
grass,Festuca,Festuca gigantea
grass,Festuca,Festuca heterophylla
grass,Festuca,Festuca ovina
grass,Festuca,Festuca pratensis
grass,Festuca,Festuca rubra
grass,Lolium,Lolium hybridum
grass,Lolium,Lolium multiflorum
grass,Lolium,Lolium perenne
grass,Lolium,Lolium rigidum
grass,Lolium,Lolium temulentum
grass,Phalaris,Phalaris aquatica
grass,Phalaris,Phalaris arundinacea
grass,Poa,Poa alpina
grass,Poa,Poa annua
grass,Poa,Poa pratensis
grass,Tripsacum,Tripsacum laxum
other,Atriplex,Atriplex halimus
other,Atriplex,Atriplex nummularia
other,Salsola,Salsola vermiculata
